iter	Passed	Remaining
0	167	167800
1	169	84754
2	171	56955
3	173	43078
4	174	34769
5	177	29439
6	179	25501
7	181	22554
8	183	20186
9	185	18317
10	186	16770
11	188	15504
12	192	14614
13	194	13727
14	196	12914
15	198	12182
16	199	11548
17	201	10986
18	203	10481
19	204	10018
20	208	9720
21	210	9352
22	211	9002
23	213	8685
24	215	8390
25	216	8127
26	218	7878
27	222	7737
28	224	7516
29	226	7309
30	227	7121
31	229	6941
32	232	6811
33	234	6650
34	238	6577
35	240	6433
36	241	6295
37	243	6169
38	245	6044
39	246	5924
40	248	5810
41	253	5772
42	254	5672
43	256	5576
44	258	5478
45	259	5386
46	261	5295
47	262	5206
48	264	5130
49	267	5090
50	269	5020
51	271	4949
52	273	4885
53	274	4815
54	276	4753
55	278	4695
56	279	4629
57	283	4605
58	285	4548
59	286	4492
60	288	4438
61	290	4388
62	291	4335
63	293	4295
64	295	4247
65	299	4231
66	300	4190
67	302	4142
68	303	4100
69	305	4060
70	307	4019
71	308	3978
72	310	3942
73	313	3917
74	315	3887
75	316	3851
76	318	3814
77	319	3779
78	321	3747
79	323	3716
80	324	3686
81	326	3655
82	328	3634
83	330	3604
84	332	3578
85	334	3550
86	336	3533
87	338	3507
88	341	3497
89	344	3484
90	346	3458
91	347	3433
92	349	3411
93	351	3385
94	352	3360
95	354	3336
96	355	3313
97	358	3300
98	360	3280
99	362	3258
100	363	3239
101	365	3217
102	367	3197
103	368	3176
104	370	3157
105	371	3136
106	375	3134
107	377	3114
108	379	3100
109	381	3083
110	382	3065
111	384	3047
112	385	3029
113	388	3015
114	390	3001
115	392	2991
116	394	2973
117	395	2959
118	397	2946
119	399	2931
120	401	2918
121	404	2908
122	405	2893
123	407	2879
124	409	2864
125	410	2850
126	412	2833
127	413	2819
128	416	2814
129	418	2801
130	420	2787
131	423	2787
132	425	2773
133	426	2758
134	428	2743
135	429	2729
136	431	2716
137	432	2703
138	434	2691
139	436	2679
140	441	2691
141	443	2676
142	445	2667
143	447	2660
144	451	2664
145	457	2675
146	459	2668
147	461	2655
148	463	2646
149	465	2639
150	480	2700
151	520	2905
152	522	2893
153	524	2880
154	526	2868
155	527	2856
156	529	2843
157	531	2831
158	535	2830
159	536	2817
160	537	2802
161	539	2790
162	543	2790
163	545	2779
164	546	2767
165	551	2769
166	552	2757
167	555	2748
168	556	2736
169	558	2724
170	559	2714
171	561	2702
172	563	2692
173	565	2686
174	567	2677
175	569	2666
176	571	2655
177	572	2644
178	574	2633
179	575	2623
180	577	2613
181	579	2606
182	581	2598
183	584	2590
184	585	2580
185	587	2572
186	589	2564
187	591	2555
188	593	2545
189	596	2541
190	597	2532
191	599	2523
192	601	2515
193	603	2506
194	604	2497
195	606	2488
196	608	2479
197	610	2474
198	612	2467
199	614	2458
200	616	2451
201	618	2442
202	620	2435
203	621	2426
204	623	2416
205	626	2416
206	628	2407
207	630	2399
208	631	2391
209	633	2384
210	635	2376
211	637	2368
212	639	2362
213	642	2358
214	643	2350
215	645	2343
216	647	2335
217	648	2326
218	650	2318
219	651	2309
220	653	2302
221	656	2300
222	658	2292
223	659	2284
224	661	2276
225	662	2269
226	664	2262
227	665	2254
228	668	2249
229	670	2244
230	672	2237
231	673	2231
232	675	2224
233	677	2217
234	679	2210
235	681	2204
236	682	2198
237	684	2191
238	686	2185
239	688	2178
240	689	2171
241	691	2164
242	692	2157
243	694	2150
244	695	2144
245	697	2137
246	699	2131
247	700	2125
248	702	2118
249	703	2111
250	705	2104
251	706	2098
252	708	2092
253	710	2086
254	711	2079
255	713	2074
256	716	2070
257	717	2064
